AA  CC  00  0A  C4  00  0A  FF  FF  0F  38  00  03  1D    = 06/05/2018 14:25:56
AA  CC  00  0A  C4  00  0A  FF  FF  0F  38  00  03  1D    = 06/05/2018 14:25:57
AA  CC  00  0B  D8  00  0A  FF  FF  0F  39  00  05  03  38    = 06/05/2018 14:27:06
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3A  00  04  03  38    = 06/05/2018 14:27:11
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3B  00  05  03  3A    = 06/05/2018 14:27:11
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3B  00  05  03  3A    = 06/05/2018 14:27:12
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3C  00  04  03  3A    = 06/05/2018 14:27:15
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3C  00  04  03  3A    = 06/05/2018 14:27:15
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3D  00  05  03  3C    = 06/05/2018 14:27:16
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3E  00  04  03  3C    = 06/05/2018 14:27:17
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3F  00  05  03  3E    = 06/05/2018 14:27:17
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3F  00  05  03  3E    = 06/05/2018 14:27:18
AA  CC  00  0B  D8  00  0A  FF  FF  0F  40  00  04  03  3E    = 06/05/2018 14:27:21
AA  CC  00  09  C0  00  02  FF  FF  0F  68  03  40    = 06/05/2018 14:28:07
AA  CC  00  0A  C4  00  02  FF  FF  0F  69  00  03  46    = 06/05/2018 14:28:12
AA  CC  00  0A  C4  00  02  FF  FF  0F  6A  00  03  47    = 06/05/2018 14:28:13
AA  CC  00  0A  C4  00  02  FF  FF  0F  6A  00  03  47    = 06/05/2018 14:28:14
AA  CC  00  09  C0  00  0A  FF  FF  0F  41  03  21    = 06/05/2018 14:28:16
AA  CC  00  0A  C4  00  0A  FF  FF  0F  42  00  03  27    = 06/05/2018 14:28:20
AA  CC  00  0B  D8  00  0A  FF  FF  0F  43  00  04  03  41    = 06/05/2018 14:33:12
AA  CC  00  0B  D8  00  0A  FF  FF  0F  44  00  04  03  42    = 06/05/2018 14:33:16
AA  CC  00  0B  D8  00  0A  FF  FF  0F  45  00  04  03  43    = 06/05/2018 14:33:19
AA  CC  00  0B  D8  00  0A  FF  FF  0F  45  00  04  03  43    = 06/05/2018 14:33:19
AA  CC  00  0B  D8  00  0A  FF  FF  0F  46  00  04  03  44    = 06/05/2018 14:33:24
AA  CC  00  0B  D8  00  0A  FF  FF  0F  47  00  04  03  45    = 06/05/2018 14:38:06
AA  CC  00  0B  D8  00  0A  FF  FF  0F  48  00  04  03  46    = 06/05/2018 14:38:09
AA  CC  00  0B  D8  00  0A  FF  FF  0F  48  00  04  03  46    = 06/05/2018 14:38:15
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4A  00  04  03  48    = 06/05/2018 14:38:16
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4B  00  04  03  49    = 06/05/2018 14:39:19
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4C  00  04  03  4A    = 06/05/2018 14:39:22
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4C  00  04  03  4A    = 06/05/2018 14:39:25
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4D  00  04  03  4B    = 06/05/2018 14:39:28
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4E  00  04  03  4C    = 06/05/2018 14:39:30
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4E  00  04  03  4C    = 06/05/2018 14:39:30
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4F  00  04  03  4D    = 06/05/2018 14:41:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4F  00  04  03  4D    = 06/05/2018 14:41:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  50  00  04  03  4E    = 06/05/2018 14:42:01
AA  CC  00  0B  D8  00  0A  FF  FF  0F  50  00  04  03  4E    = 06/05/2018 14:42:01
AA  CC  00  0B  D8  00  0A  FF  FF  0F  50  00  04  03  4E    = 06/05/2018 14:42:02
AA  CC  00  0B  D8  00  0A  FF  FF  0F  51  00  04  03  4F    = 06/05/2018 14:42:09
